Num,Community Area,2010,"2,000",Difference,Percentage
1,Rogers Park,54991,"63,484","-8,493",-13.40%
2,West Ridge,71942,"73,199","-1,257",-1.70%
3,Uptown,56362,"63,551","-7,189",-11.30%
4,Lincoln Square,39493,"44,574","-5,081",-11.40%
5,North Center,31867,"31,895",-28,-0.10%
6,Lake View,94368,"94,817",-449,-0.50%
7,Lincoln Park,64116,"64,320",-204,-0.30%
8,Near North Side,80484,"72,811","7,673",10.50%
9,Edison Park,11187,"11,259",-72,-0.60%
10,Norwood Park,37023,"37,669",-646,-1.70%
11,Jefferson Park,25448,"25,859",-411,-1.60%
12,Forest Glen,18508,"18,165",343,1.90%
13,North Park,17931,"18,514",-583,-3.10%
14,Albany Park,51542,"57,655","-6,113",-10.60%
15,Portage Park,64124,"65,340","-1,216",-1.90%
16,Irving Park,53359,"58,643","-5,284",-9.00%
17,Dunning,41932,"42,164",-232,-0.60%
18,Montclare,13426,"12,646",780,6.20%
19,Belmont Cragin,78743,"78,144",599,0.80%
20,Hermosa,25010,"26,908","-1,898",-7.10%
21,Avondale,39262,"43,083","-3,821",-8.90%
22,Logan Square,73595,"82,715","-9,120",-11.00%
23,Humboldt Park,56323,"65,836","-9,513",-14.40%
24,West Town,81432,"87,435","-6,003",-6.90%
25,Austin,98514,"117,527","-19,013",-16.20%
26,West Garfield Park,18001,"23,019","-5,018",-21.80%
27,East Garfield Park,20567,"20,881",-314,-1.50%
28,Near West Side,54881,"46,419","8,462",18.20%
29,North Lawndale,35912,"41,768","-5,856",-14.00%
30,South Lawndale,79288,"91,071","-11,783",-12.90%
31,Lower West Side,35769,"44,031","-8,262",-18.80%
32,Loop,29283,"16,388","12,895",78.70%
33,Near South Side,21390,"9,509","11,881",124.90%
34,Armour Square,13391,"12,032","1,359",11.30%
35,Douglas,18238,"26,470","-8,232",-31.10%
36,Oakland,5918,"6,110",-192,-3.10%
37,Fuller Park,2876,"3,420",-544,-15.90%
38,Grand Boulevard,21929,"28,006","-6,077",-21.70%
39,Kenwood,17841,"18,363",-522,-2.80%
40,Washington Park,11717,"14,146","-2,429",-17.20%
41,Hyde Park,25681,"29,920","-4,239",-14.20%
42,Woodlawn,25983,"27,086","-1,103",-4.10%
43,South Shore,49767,"61,556","-11,789",-19.20%
44,Chatham,31028,"37,275","-6,247",-16.80%
45,Avalon Park,10185,"11,147",-962,-8.60%
46,South Chicago,31198,"38,596","-7,398",-19.20%
47,Burnside,2916,"3,294",-378,-11.50%
48,Calumet Heights,13812,"15,974","-2,162",-13.50%
49,Roseland,44619,"52,723","-8,104",-15.40%
50,Pullman,7325,"8,921","-1,596",-17.90%
51,South Deering,15109,"16,990","-1,881",-11.10%
52,East Side,23042,"23,653",-611,-2.60%
53,West Pullman,29651,"36,649","-6,998",-19.10%
54,Riverdale,6482,"9,809","-3,327",-33.90%
55,Hegewisch,9426,"9,781",-355,-3.60%
56,Garfield Ridge,34513,"36,101","-1,588",-4.40%
57,Archer Heights,13393,"12,644",749,5.90%
58,Brighton Park,45368,"44,912",456,1.00%
59,McKinley Park,15612,"15,962",-350,-2.20%
60,Bridgeport,31977,"33,694","-1,717",-5.10%
61,New City,44377,"51,721","-7,344",-14.20%
62,West Elsdon,18109,"15,921","2,188",13.70%
63,Gage Park,39894,"39,193",701,1.80%
64,Clearing,23139,"22,331",808,3.60%
65,West Lawn,33355,"29,235","4,120",14.10%
66,Chicago Lawn,55628,"61,412","-5,784",-9.40%
67,West Englewood,35505,"45,282","-9,777",-21.60%
68,Englewood,30654,"40,222","-9,568",-23.80%
69,Greater Grand Crossing,32602,"38,619","-6,017",-15.60%
70,Ashburn,41081,"39,584","1,497",3.80%
71,Auburn Gresham,48743,"55,928","-7,185",-12.80%
72,Beverly,20034,"21,992","-1,958",-8.90%
73,Washington Heights,26493,"29,843","-3,350",-11.20%
74,Mount Greenwood,19093,"18,820",273,1.50%
75,Morgan Park,22544,"25,226","-2,682",-10.60%
76,O'Hare,12756,"11,956",800,6.70%
77,Edgewater,56521,"62,198","-5,677",-9.10%
