"Community.Area","crime_count","sum_violent","sum_nonviolent"
0,76,17,59
1,104206,26868,77336
2,85662,19154,66506
3,98882,24619,74258
4,48073,10320,37750
5,40182,6108,34071
6,135657,22780,112864
7,105725,13351,92373
8,235924,41620,194291
9,6665,1572,5093
10,29313,6194,23115
11,26985,5825,21155
12,12428,1965,10461
13,22690,4208,18480
14,60631,15283,45346
15,85969,19064,66903
16,76608,17870,58737
17,41764,9223,32540
18,16079,3670,12409
19,124740,31295,93436
20,40853,11062,29789
21,63259,14451,48808
22,141610,30088,111518
23,213991,58337,155650
24,198666,37930,160731
25,428739,118079,310654
26,129055,33744,95310
27,128111,36949,91160
28,202017,42694,159315
29,198850,58622,140222
30,114368,33346,81017
31,65957,17479,48476
32,165299,22430,142859
33,51536,10272,41261
34,25366,5352,20013
35,75434,20096,55335
36,15275,4721,10553
37,22753,5995,16755
38,93785,28282,65503
39,38638,10492,28145
40,72179,24113,48066
41,42721,7991,34730
42,109682,32991,76689
43,223157,68477,154678
44,148348,40252,108094
45,34820,9894,24926
46,125310,39808,85502
47,10179,2977,7202
48,37002,9077,27925
49,181267,54786,126480
50,27470,8984,18481
51,44515,12782,31730
52,33576,9394,24182
53,111693,34802,76891
54,30398,12596,17802
55,14834,4012,10821
56,56025,11336,44683
57,24257,4823,19433
58,65705,16897,48807
59,27729,6042,21686
60,43372,10492,32875
61,138203,41698,96501
62,26137,5064,21073
63,62153,15584,46568
64,26825,6260,20564
65,50111,9470,40639
66,166759,47141,119606
67,197562,64264,133296
68,179466,61438,118028
69,168668,53342,115324
70,61742,15010,46729
71,192995,57643,135350
72,24613,4313,20300
73,80693,21964,58728
74,15238,3546,11692
75,54246,14262,39982
76,40750,5602,35127
77,67151,15595,51554
NA,613480,164440,449040
